Youtuber,Title,Published_date,Views,Likes,Comments
mkbhd,2021 Tesla Model S Refresh Reaction!,2021-01-29T03:43:09Z,6274888,225099,12926
mkbhd,"The Only REAL ""Pro"" Smartphone?!",2021-01-27T23:40:23Z,7552684,257352,12124
mkbhd,The Invisible Selfie Camera!,2021-01-25T23:45:05Z,3433972,138351,10276
mkbhd,Samsung Galaxy S21 Ultra Review: Problems Solved!,2021-01-21T16:01:07Z,6463504,194839,12144
mkbhd,Xiaomi Mi 11: The New Normal!,2021-01-20T00:01:24Z,3682309,136322,10196
mkbhd,Huge Apple 2021 Rumor Reactions!,2021-01-17T22:48:50Z,2928141,100815,7269
mkbhd,Samsung Galaxy S21 Ultra Impressions: Redemption Time!,2021-01-14T15:01:11Z,6132372,210562,16561
mkbhd,"Samsung Galaxy S21 Impressions: New Year, New Price!",2021-01-14T15:00:37Z,2344939,96546,8357
mkbhd,What Happened to OnePlus?,2021-01-12T23:30:23Z,5118335,255863,15850
mkbhd,2021 Tech I'm Ready For!,2020-12-31T22:21:01Z,3703923,172352,8381
mkbhd,Dear Electric Cars!,2020-12-29T00:55:17Z,3160237,176710,18244
mkbhd,Giving Away 24 PS5s and XBox Series X!,2020-12-25T14:00:05Z,2200494,203270,97316
mkbhd,Smartphone Awards 2020!,2020-12-23T23:13:29Z,6896899,296860,19309
mkbhd,Some Quick Advice from Barack Obama!,2020-12-16T21:42:25Z,3583848,259921,14151
mkbhd,AirPods Max Review: Luxury Listening!,2020-12-16T01:37:02Z,8853424,304360,23076
mkbhd,Outer Folding Phones: It's Time to Stop!,2020-12-15T01:04:57Z,1850664,90594,6320
mkbhd,The iPhone with a Piece of the Moon? The Caviar Story,2020-12-12T02:15:08Z,2973014,147873,8565
mkbhd,AirPods Max Unboxing & Impressions: $550?!,2020-12-10T14:00:39Z,12468516,414539,45960
mkbhd,The Portless iPhone: Let's Talk!,2020-12-07T21:59:59Z,6603690,236178,43942
mkbhd,The $129 Smartphone?!,2020-12-05T01:00:07Z,2612922,116288,8378
mkbhd,The Blind Smartphone Camera Test 2020!,2020-12-03T00:00:09Z,2977292,156787,11391
mkbhd,What's in my Tech Bag! [2020],2020-11-30T19:45:14Z,3668442,171020,10245
mkbhd,The FIRST MKBHD Product: ICONS!,2020-11-27T14:00:19Z,1734351,124855,10616
mkbhd,The First Folding Screen Tablet!,2020-11-24T22:51:16Z,2802585,140071,10014
mkbhd,Apple M1 Mac Review: Time to Recalibrate!,2020-11-17T14:01:00Z,8800995,302242,16832
mkbhd,PlayStation 5 Review: Next Gen Gaming!,2020-11-14T12:40:21Z,7652296,247333,15015
mkbhd,"HomePod Mini Review: Big Sound, Tiny Box!",2020-11-12T14:00:49Z,5522238,160108,7710
mkbhd,Apple M1 Chip: Let's Talk!,2020-11-11T00:04:48Z,4211196,170462,11882
mkbhd,iPhone 12 Pro Max Review: The Biggest Ever!,2020-11-09T14:00:57Z,5941976,177412,12436
